frame,dt,N,areaSigned,areaAbs,targetArea,areaErr,perim,minEdge,maxEdge,avgEdge,flipped,selfIntersect,grabbed,dragInside,iters,areaStiff,edgeStiff,diagStiff,maxCorr,damping
59,0.016667,20,31179.580078,31179.580078,38276.382812,7096.802734,628.544983,31.427134,31.427452,31.427250,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
60,0.016667,20,31179.580078,31179.580078,38276.382812,7096.802734,628.544983,31.427147,31.427431,31.427250,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
61,0.016667,20,31179.578125,31179.578125,38276.382812,7096.804688,628.544922,31.427156,31.427401,31.427246,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
62,0.016667,20,31179.576172,31179.576172,38276.382812,7096.806641,628.544922,31.427156,31.427401,31.427246,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
63,0.016667,20,31179.574219,31179.574219,38276.382812,7096.808594,628.544861,31.427156,31.427401,31.427242,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
64,0.016667,20,31179.572266,31179.572266,38276.382812,7096.810547,628.544861,31.427156,31.427401,31.427242,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
65,0.016667,20,31179.568359,31179.568359,38276.382812,7096.814453,628.544861,31.427156,31.427401,31.427242,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
66,0.016667,20,31179.564453,31179.564453,38276.382812,7096.818359,628.544800,31.427151,31.427401,31.427240,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
67,0.016667,20,31179.560547,31179.560547,38276.382812,7096.822266,628.544739,31.427130,31.427401,31.427237,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
68,0.016667,20,31179.558594,31179.558594,38276.382812,7096.824219,628.544739,31.427101,31.427401,31.427237,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
69,0.016668,20,31179.556641,31179.556641,38276.382812,7096.826172,628.544739,31.427128,31.427401,31.427237,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
70,0.016667,20,31179.550781,31179.550781,38276.382812,7096.832031,628.544739,31.427155,31.427401,31.427237,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
71,0.016667,20,31179.542969,31179.542969,38276.382812,7096.839844,628.544617,31.427153,31.427401,31.427231,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
72,0.016667,20,31179.535156,31179.535156,38276.382812,7096.847656,628.544556,31.427151,31.427341,31.427227,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
73,0.016667,20,31179.529297,31179.529297,38276.382812,7096.853516,628.544495,31.427128,31.427341,31.427225,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
74,0.016667,20,31179.521484,31179.521484,38276.382812,7096.861328,628.544434,31.427101,31.427383,31.427221,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
75,0.016667,20,31179.517578,31179.517578,38276.382812,7096.865234,628.544373,31.427074,31.427341,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
76,0.016667,20,31179.515625,31179.515625,38276.382812,7096.867188,628.544312,31.427101,31.427341,31.427216,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
77,0.016667,20,31179.515625,31179.515625,38276.382812,7096.867188,628.544373,31.427120,31.427320,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
78,0.016667,20,31179.513672,31179.513672,38276.382812,7096.869141,628.544312,31.427114,31.427296,31.427216,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
79,0.016667,20,31179.509766,31179.509766,38276.382812,7096.873047,628.544250,31.427088,31.427305,31.427212,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
80,0.016667,20,31179.505859,31179.505859,38276.382812,7096.876953,628.544250,31.427067,31.427301,31.427212,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
81,0.016667,20,31179.500000,31179.500000,38276.382812,7096.882812,628.544312,31.427067,31.427301,31.427216,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
82,0.016667,20,31179.496094,31179.496094,38276.382812,7096.886719,628.544189,31.427067,31.427305,31.427210,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
83,0.016667,20,31179.498047,31179.498047,38276.382812,7096.884766,628.544189,31.427067,31.427326,31.427210,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
84,0.016667,20,31179.505859,31179.505859,38276.382812,7096.876953,628.544250,31.427074,31.427319,31.427212,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
85,0.016668,20,31179.511719,31179.511719,38276.382812,7096.871094,628.544312,31.427074,31.427301,31.427216,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
86,0.016667,20,31179.515625,31179.515625,38276.382812,7096.867188,628.544312,31.427074,31.427301,31.427216,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
87,0.016667,20,31179.515625,31179.515625,38276.382812,7096.867188,628.544373,31.427074,31.427319,31.427219,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
88,0.016667,20,31179.513672,31179.513672,38276.382812,7096.869141,628.544312,31.427065,31.427347,31.427216,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
89,0.016667,20,31179.509766,31179.509766,38276.382812,7096.873047,628.544312,31.427065,31.427361,31.427216,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
90,0.016667,20,31179.503906,31179.503906,38276.382812,7096.878906,628.544189,31.427074,31.427351,31.427210,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
91,0.016667,20,31179.498047,31179.498047,38276.382812,7096.884766,628.544189,31.427021,31.427366,31.427210,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
92,0.016667,20,31179.494141,31179.494141,38276.382812,7096.888672,628.544128,31.427021,31.427387,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
93,0.016667,20,31179.492188,31179.492188,38276.382812,7096.890625,628.544128,31.427032,31.427387,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
94,0.016667,20,31179.488281,31179.488281,38276.382812,7096.894531,628.544128,31.427032,31.427374,31.427206,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
95,0.016667,20,31179.484375,31179.484375,38276.382812,7096.898438,628.544006,31.427031,31.427393,31.427200,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
96,0.016667,20,31179.482422,31179.482422,38276.382812,7096.900391,628.544006,31.427031,31.427383,31.427200,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
97,0.016667,20,31179.480469,31179.480469,38276.382812,7096.902344,628.544006,31.427029,31.427378,31.427200,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
98,0.016667,20,31179.474609,31179.474609,38276.382812,7096.908203,628.543945,31.427029,31.427378,31.427197,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
99,0.016667,20,31179.466797,31179.466797,38276.382812,7096.916016,628.543945,31.427040,31.427380,31.427197,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
100,0.016667,20,31179.458984,31179.458984,38276.382812,7096.923828,628.543762,31.427067,31.427380,31.427189,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
101,0.016667,20,31179.451172,31179.451172,38276.382812,7096.931641,628.543701,31.427061,31.427382,31.427185,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
102,0.016667,20,31179.445312,31179.445312,38276.382812,7096.937500,628.543579,31.427052,31.427357,31.427179,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
103,0.016667,20,31179.443359,31179.443359,38276.382812,7096.939453,628.543518,31.427063,31.427301,31.427176,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
104,0.016667,20,31179.447266,31179.447266,38276.382812,7096.935547,628.543640,31.427090,31.427303,31.427181,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
105,0.016670,20,31179.449219,31179.449219,38276.382812,7096.933594,628.543640,31.427095,31.427359,31.427181,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
106,0.016667,20,31179.447266,31179.447266,38276.382812,7096.935547,628.543640,31.427097,31.427385,31.427181,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
107,0.016667,20,31179.449219,31179.449219,38276.382812,7096.933594,628.543640,31.427086,31.427385,31.427181,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
108,0.016667,20,31179.457031,31179.457031,38276.382812,7096.925781,628.543762,31.427086,31.427385,31.427189,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
109,0.016667,20,31179.464844,31179.464844,38276.382812,7096.917969,628.543823,31.427086,31.427385,31.427191,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
110,0.016667,20,31179.472656,31179.472656,38276.382812,7096.910156,628.543884,31.427086,31.427385,31.427195,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
111,0.016667,20,31179.480469,31179.480469,38276.382812,7096.902344,628.544067,31.427084,31.427359,31.427204,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
112,0.016667,20,31179.482422,31179.482422,38276.382812,7096.900391,628.544006,31.427114,31.427305,31.427200,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
113,0.016667,20,31179.486328,31179.486328,38276.382812,7096.896484,628.544067,31.427116,31.427301,31.427204,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
114,0.016667,20,31179.486328,31179.486328,38276.382812,7096.896484,628.544067,31.427118,31.427292,31.427204,0,0,-1,0,16,0.1800,0.9500,0.3500,6.000,0.9700
