frame,mode,viseme,open,openT,wide,wideT,round,roundT,smile,smileT,width,height,area,areaT,fill,teeth
293,blob,C,0.2505,0.5500,0.3782,0.5500,0.0173,0.0500,0.6640,0.7000,113.22,27.08,260.65,3337.80,1,0
295,blob,C,0.2510,0.5500,0.3791,0.5500,0.0173,0.0500,0.6644,0.7000,113.20,27.17,266.34,3261.32,1,0
297,blob,C,0.2609,0.5500,0.3851,0.5500,0.0183,0.0500,0.6657,0.7000,113.54,28.02,249.47,3216.07,1,0
299,blob,C,0.2764,0.5500,0.3942,0.5500,0.0200,0.0500,0.6677,0.7000,114.11,29.35,235.90,3201.52,1,1
301,blob,C,0.2951,0.5500,0.4050,0.5500,0.0220,0.0500,0.6700,0.7000,114.81,30.93,258.97,3213.79,1,1
303,blob,C,0.3152,0.5500,0.4166,0.5500,0.0242,0.0500,0.6724,0.7000,115.58,32.63,275.63,3247.70,1,1
305,blob,C,0.3355,0.5500,0.4282,0.5500,0.0264,0.0500,0.6749,0.7000,116.37,34.35,272.73,3297.91,1,1
307,blob,C,0.3554,0.5500,0.4396,0.5500,0.0286,0.0500,0.6772,0.7000,117.14,36.04,286.66,3359.50,1,1
309,blob,C,0.3743,0.5500,0.4504,0.5500,0.0307,0.0500,0.6795,0.7000,117.88,37.64,301.37,3428.27,1,1
311,blob,C,0.3921,0.5500,0.4604,0.5500,0.0326,0.0500,0.6815,0.7000,118.56,39.16,284.77,3500.78,1,1
313,blob,C,0.4085,0.5500,0.4698,0.5500,0.0344,0.0500,0.6835,0.7000,119.20,40.56,291.66,3574.35,1,1
315,blob,C,0.4235,0.5500,0.4783,0.5500,0.0361,0.0500,0.6852,0.7000,119.78,41.84,320.35,3646.95,1,1
317,blob,C,0.4371,0.5500,0.4860,0.5500,0.0376,0.0500,0.6868,0.7000,120.30,43.02,227.80,3717.14,1,1
319,blob,C,0.4494,0.5500,0.4930,0.5500,0.0389,0.0500,0.6883,0.7000,120.78,44.08,37.67,3783.92,1,1
321,blob,C,0.4605,0.5500,0.4993,0.5500,0.0402,0.0500,0.6896,0.7000,121.20,45.05,24.51,3846.64,1,1
323,blob,C,0.4705,0.5500,0.5050,0.5500,0.0413,0.0500,0.6907,0.7000,121.57,45.91,187.64,3904.98,1,1
325,blob,C,0.4794,0.5500,0.5100,0.5500,0.0422,0.0500,0.6918,0.7000,121.90,46.70,25.71,3958.77,1,1
327,blob,C,0.4874,0.5500,0.5145,0.5500,0.0431,0.0500,0.6927,0.7000,122.19,47.40,195.28,4008.06,1,1
329,blob,C,0.4945,0.5500,0.5185,0.5500,0.0439,0.0500,0.6935,0.7000,122.45,48.03,23.14,4052.96,1,1
331,blob,C,0.5008,0.5500,0.5221,0.5500,0.0446,0.0500,0.6943,0.7000,122.67,48.59,126.73,4093.67,1,1
333,blob,C,0.5064,0.5500,0.5253,0.5500,0.0452,0.0500,0.6949,0.7000,122.86,49.09,46.71,4130.44,1,1
335,blob,B,0.5074,0.1000,0.5259,0.3000,0.0453,0.0000,0.6951,0.6500,122.91,49.18,312.42,4160.79,1,1
337,blob,B,0.4950,0.1000,0.5191,0.3000,0.0439,0.0000,0.6937,0.6500,122.52,48.05,293.86,4170.38,1,1
339,blob,B,0.4745,0.1000,0.5077,0.3000,0.0416,0.0000,0.6914,0.6500,121.82,46.23,38.56,4153.21,1,1
341,blob,B,0.4494,0.1000,0.4938,0.3000,0.0388,0.0000,0.6887,0.6500,120.92,44.04,138.23,4109.96,1,1
343,blob,B,0.4222,0.1000,0.4787,0.3000,0.0358,0.0000,0.6857,0.6500,119.91,41.70,7.55,4044.57,1,1
345,blob,B,0.3945,0.1000,0.4634,0.3000,0.0327,0.0000,0.6826,0.6500,118.86,39.34,15.81,3962.19,1,1
347,blob,B,0.3673,0.1000,0.4483,0.3000,0.0297,0.0000,0.6796,0.6500,117.81,37.04,8.46,3868.04,1,1
349,blob,B,0.3414,0.1000,0.4340,0.3000,0.0268,0.0000,0.6767,0.6500,116.80,34.87,12.86,3766.82,1,1
